timestamp,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-12-06,18821002.0,443.6452,442.3,443.57,446.1,441.7703,277267,437.158,424.43
2024-12-09,19144388.0,445.5064,442.6,446.02,448.33,440.5,318830,440.166,425.604
2024-12-10,18469459.0,444.7309,444.39,443.33,449.62,441.6,309314,442.592,426.87
2024-12-11,19200208.0,448.5603,444.05,448.99,450.35,444.05,272368,444.90600000000006,428.168
2024-12-12,20834779.0,451.6344,449.11,449.56,456.1648,449.11,319761,446.294,429.38599999999997
2024-12-13,20177833.0,447.5519,448.435,447.27,451.43,445.58,272450,447.034,430.40500000000003
2024-12-16,23598834.0,449.8127,447.27,451.59,452.18,445.28,317809,448.14799999999997,432.2345
2024-12-17,22733494.0,453.7481,451.01,454.46,455.29,449.57,320719,450.37399999999997,434.16949999999997
2024-12-18,24444545.0,443.8735,451.32,437.39,452.65,437.02,390068,448.054,435.1495
2024-12-19,22963681.0,438.8406,441.62,437.03,443.1834,436.32,327735,445.54799999999994,436.22649999999993
2024-12-20,64263694.0,436.2563,433.11,436.6,443.74,428.63,366000,443.41400000000004,437.413
2024-12-23,19152519.0,435.0529,436.74,435.25,437.65,432.83,267110,440.146,438.32550000000003
2024-12-24,7164543.0,437.9834,434.65,439.33,439.6,434.19,132584,437.12,439.35249999999996
2024-12-26,8199927.0,438.6297,439.08,438.11,440.94,436.63,181124,437.264,439.8585
2024-12-27,18117713.0,429.7034,434.6,430.53,435.22,426.35,317976,435.96400000000006,440.23549999999994
2024-12-30,13158703.0,425.2348,426.06,424.83,427.55,421.9,283674,433.61,440.304
2024-12-31,13246509.0,422.5086,426.1,421.5,426.73,420.66,229686,430.86,439.8299999999999
2025-01-02,16896469.0,419.6368,425.53,418.58,426.07,414.85,353076,426.7099999999999,439.19899999999996
2025-01-03,16662943.0,422.5164,421.08,423.35,424.03,419.54,285046,423.758,438.4955
2025-01-06,20573648.0,428.8399,428.0,427.85,434.32,425.4774,372816,423.22200000000004,437.75699999999995
2025-01-07,18139065.0,424.3997,429.0,422.37,430.65,420.8,299265,422.73,436.697
2025-01-08,15054575.0,424.4542,423.46,424.56,426.97,421.54,249660,423.342,435.62399999999997
2025-01-10,20201132.0,419.2507,424.63,418.95,424.71,415.02,360661,423.416,434.40500000000003
2025-01-13,17604780.0,415.8274,415.235,417.19,418.5,412.29,305299,422.184,432.81499999999994
2025-01-14,16935856.0,415.473,417.81,415.67,419.74,410.72,291483,419.74799999999993,431.1205
2025-01-15,19637838.0,425.5384,419.13,426.31,428.15,418.265,306574,420.53600000000006,430.07250000000005
2025-01-16,15300023.0,426.1062,428.695,424.58,429.49,424.39,247931,420.5400000000001,428.72200000000004
2025-01-17,26197507.0,430.6367,434.085,429.03,434.48,428.17,280168,422.55600000000004,427.45050000000003
2025-01-21,26085703.0,428.5769,430.2,428.5,430.8999,425.595,389324,424.81800000000004,427.00600000000003
2025-01-22,27803811.0,442.944,437.56,446.2,447.27,436.0,463559,430.924,427.46449999999993
2025-01-23,18389270.0,444.9181,442.0,446.71,446.75,441.5048,281369,435.004,427.96999999999997
2025-01-24,15549453.0,444.0559,445.16,444.06,446.65,441.4,269540,438.9,428.41049999999996
2025-01-27,35647805.0,430.045,424.01,434.56,435.2,423.5,646791,440.00600000000003,428.172
2025-01-28,23491703.0,443.6589,434.6,447.2,448.38,431.38,419473,443.746,428.62649999999996
2025-01-29,23581370.0,439.3597,446.69,442.33,446.88,440.4,466063,442.97200000000004,429.2165
2025-01-30,54586260.0,416.3876,418.77,414.99,422.86,413.16,1142723,436.628,428.7245
2025-01-31,34223388.0,416.8028,418.98,415.06,420.69,414.91,567270,430.828,428.4025
2025-02-03,25679149.0,411.9189,411.6,410.92,415.41,408.66,505730,426.1,428.0195
2025-02-04,20532096.0,412.0535,412.685,412.37,413.9199,409.74,354122,419.134,427.4705
2025-02-05,16336188.0,412.5466,412.35,413.29,413.827,410.4,311862,413.326,426.7425
2025-02-06,16309755.0,416.0424,414.0,415.82,418.2,414.0,289458,413.492,426.4150000000001
2025-02-07,22886844.0,411.3369,416.48,409.75,418.65,408.1,437552,412.43,425.67449999999997
2025-02-10,20817919.0,412.7279,413.71,412.22,415.4624,410.92,291373,412.69000000000005,425.338
2025-02-11,18140592.0,411.1454,409.64,411.44,412.49,409.3,242310,412.504,425.0505
2025-02-12,19121734.0,408.8347,407.21,409.04,410.75,404.3673,328185,411.654,424.71900000000005
2025-02-13,23891731.0,409.5178,407.0,410.54,411.0,406.36,327103,410.59800000000007,423.93050000000005
2025-02-14,22758464.0,407.6562,407.79,408.43,408.91,405.88,366188,410.334,423.12300000000005
2025-02-18,21423051.0,408.9786,408.0,409.64,410.597,406.5,342340,409.81800000000004,422.1535
2025-02-19,24114197.0,412.2135,407.88,414.77,415.49,407.65,372874,410.48400000000004,421.467
2025-02-20,23508728.0,416.3504,415.29,416.13,419.31,412.54,395746,411.90200000000004,419.9635
2025-02-21,27524799.0,411.4857,417.335,408.21,418.048,407.89,385141,411.43600000000004,418.0385
